Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,database,module,overlap.n
cellular transition metal ion homeostasis (GO:0046916),4/96,0.00419259382998,0.0977087545122458,0,0,6.51251646903821,35.652352551267,MT1A;MT1M;MT1X;HAMP,GO_BP,magenta,4
cholesterol transport (GO:0030301),3/51,0.00504689530317849,0.103596150260366,0,0,9.31203007518797,49.2511596020426,STX12;STAR;LDLR,GO_BP,magenta,3
calcium-mediated signaling (GO:0019722),4/102,0.005198643176702,0.103596150260366,0,0,6.11193568336426,32.1448554786895,EDNRB;EDN2;CCL20;KSR2,GO_BP,magenta,4
negative regulation of protein metabolic process (GO:0051248),3/52,0.00532956434209483,0.104687871005434,0,0,9.12152831057235,47.7465102434811,EDNRB;PTX3;LDLR,GO_BP,magenta,3
cellular metal ion homeostasis (GO:0006875),4/104,0.00556691507402527,0.107809975025137,0,0,5.98909090909091,31.0888571956972,EDN2;STC1;ATP1B3;TMEM165,GO_BP,magenta,4
regulation of focal adhesion assembly (GO:0051893),3/54,0.00592302423581456,0.111563812660891,0,0,8.76293675364883,44.9442973821694,FAM107A;PTEN;THBS1,GO_BP,magenta,3
response to endoplasmic reticulum stress (GO:0034976),4/110,0.00677529910847226,0.123870643549386,0,0,5.6483704974271,28.2106269639246,JUN;CEBPB;THBS1;ATF3,GO_BP,magenta,4
regulation of cell migration (GO:0030334),8/408,0.00684666829800243,0.123870643549386,0,0,3.04125,15.1575690910495,ADAM15;FAM107A;PTEN;STC1;HAS2;CCN1;CYRIB;THBS1,GO_BP,magenta,8
negative regulation of transcription by RNA polymerase II (GO:0000122),11/684,0.00707849407407266,0.126401679894155,0,0,2.50937295690936,12.4231378806838,DNAJB1;JUN;CEBPB;EDNRB;NR4A3;CTBP2;NFIL3;ZBTB21;CREM;HAMP;ATF3,GO_BP,magenta,11
fat cell differentiation (GO:0045444),3/58,0.00722460896053743,0.12664428056613,0,0,8.12399179767601,40.0534094258763,NR4A3;CTBP2;FOXO1,GO_BP,magenta,3
anion transmembrane transport (GO:0098656),3/67,0.010731615443145,0.170892718254284,0,0,6.97838345864662,31.6439067292708,SLC7A5;SLC25A18;LRRC8A,GO_BP,magenta,3
negative regulation of growth (GO:0045926),4/126,0.0108128483549983,0.170892718254284,0,0,4.90362642821659,22.1988158420071,MT1A;ADAM15;MT1M;MT1X,GO_BP,magenta,4
phosphatidylinositol biosynthetic process (GO:0006661),4/126,0.0108128483549983,0.170892718254284,0,0,4.90362642821659,22.1988158420071,ITPKC;SOCS1;PIGA;PTEN,GO_BP,magenta,4
regulation of G1/S transition of mitotic cell cycle (GO:2000045),3/71,0.0125553123102657,0.184248398814679,0,0,6.56656346749226,28.7458631684009,ADAMTS1;FAM107A;PTEN,GO_BP,magenta,3
"negative regulation of transcription, DNA-templated (GO:0045892)",13/948,0.012595890537149,0.184248398814679,0,0,2.13970696926221,9.359901356219,JUN;CEBPB;CTBP2;ZBTB21;CREM;FOXO1;DNAJB1;EDNRB;NR4A3;NFIL3;CD38;HAMP;ATF3,GO_BP,magenta,13
regulation of cell adhesion (GO:0030155),4/133,0.0129800569848175,0.186031794528307,0,0,4.63589382194033,20.1399044252389,ADGRG1;GPR4;CYTH1;RND1,GO_BP,magenta,4
regulation of actin filament polymerization (GO:0030833),3/73,0.0135295850566041,0.186031794528307,0,0,6.37830290010741,27.4450496948908,CDC42EP4;CYRIB;DBN1,GO_BP,magenta,3
regulation of actin filament-based process (GO:0032970),3/73,0.0135295850566041,0.186031794528307,0,0,6.37830290010741,27.4450496948908,FAM107A;RND3;RND1,GO_BP,magenta,3
positive regulation of lymphocyte proliferation (GO:0050671),3/75,0.0145458185970549,0.192312505489909,0,0,6.20050125313283,26.2309211187088,PNP;CLCF1;CD38,GO_BP,magenta,3
integrin-mediated signaling pathway (GO:0007229),3/75,0.0145458185970549,0.192312505489909,0,0,6.20050125313283,26.2309211187088,ADAM15;ADAMTS1;ITGA5,GO_BP,magenta,3
negative regulation of cell population proliferation (GO:0008285),7/379,0.0151100666753286,0.197869920748351,0,0,2.84329415687255,11.9202096195315,BTG3;ADGRG1;BTG2;CTBP2;ADAMTS1;NOS3;PTEN,GO_BP,magenta,7
neutrophil migration (GO:1990266),3/77,0.0156042279199624,0.200521620466807,0,0,6.03231050599472,25.095698884998,EDN2;CCL20;CD177,GO_BP,magenta,3
Ras protein signal transduction (GO:0007265),4/142,0.0161488659365747,0.203855195094052,0,0,4.33157663592446,17.8716756597557,ADGRG1;JUN;CDC42EP4;KSR2,GO_BP,magenta,4
extracellular structure organization (GO:0043062),5/216,0.0161601572838194,0.203855195094052,0,0,3.55504504178575,14.6652948893778,ADAM15;ADAMTS1;ITGA5;ADAMTS9;THBS1,GO_BP,magenta,5
external encapsulating structure organization (GO:0045229),5/217,0.0164535964058887,0.204738298131728,0,0,3.53809592395218,14.531707202588,ADAM15;ADAMTS1;ITGA5;ADAMTS9;THBS1,GO_BP,magenta,5
extracellular matrix organization (GO:0030198),6/300,0.0168286862400915,0.205802669674318,0,0,3.07221350078493,12.5489793476821,ADAM15;ADAMTS1;HAS2;ITGA5;ADAMTS9;THBS1,GO_BP,magenta,6
negative regulation of cell migration (GO:0030336),4/144,0.0169132375805076,0.205802669674318,0,0,4.26926406926407,17.4171401955106,ADGRG1;ADAM15;PTEN;STC1,GO_BP,magenta,4
cellular response to cytokine stimulus (GO:0071345),8/482,0.0173609752541658,0.208983001473993,0,0,2.55669831223629,10.3636543146181,SOCS1;EDN2;CCL20;CLCF1;PIM1;HAS2;MT1X;FOXO1,GO_BP,magenta,8
positive regulation of transcription by RNA polymerase II (GO:0045944),12/908,0.0210909897537345,0.229644531839697,0,0,2.04867511520737,7.90565156864019,FOSL1;JUN;CEBPB;NR4A3;CTBP2;EGR4;ELL;NFYB;NAMPT;CCN1;ATF3;FOXO1,GO_BP,magenta,12
negative regulation of angiogenesis (GO:0016525),3/87,0.0215341605003801,0.229644531839697,0,0,5.31149301825994,20.3861196674659,ADAMTS1;ADAMTS9;THBS1,GO_BP,magenta,3
regulation of actin cytoskeleton organization (GO:0032956),3/91,0.0242053378838946,0.229644531839697,0,0,5.06903622693096,18.8628068537987,FAM107A;RND3;RND1,GO_BP,magenta,3
regulation of heart contraction (GO:0008016),3/93,0.0256051135544023,0.229644531839697,0,0,4.95588972431078,18.1631534590153,NPPC;ATP1B3;CACNA1H,GO_BP,magenta,3
negative regulation of cellular protein metabolic process (GO:0032269),3/94,0.0263210313893772,0.229644531839697,0,0,4.90118152524168,17.8274938996935,BTG2;EDNRB;EIF4A3,GO_BP,magenta,3
negative regulation of MAPK cascade (GO:0043409),3/94,0.0263210313893772,0.229644531839697,0,0,4.90118152524168,17.8274938996935,PTEN;TIMP3;FOXO1,GO_BP,magenta,3
positive regulation of cellular process (GO:0048522),9/625,0.027102917949499,0.229644531839697,0,0,2.2143368442581,7.98957951046807,FOSL1;ADGRG1;EDN2;EGR4;CLCF1;NAMPT;PTEN;HAS2;THBS1,GO_BP,magenta,9
calcium ion homeostasis (GO:0055074),3/97,0.028532801380363,0.229644531839697,0,0,4.74404095344745,16.8731348610648,EDN2;STC1;TMEM165,GO_BP,magenta,3
neuron projection development (GO:0031175),4/171,0.0294786265572103,0.229644531839697,0,0,3.5741244783161,12.5955356240928,ARC;BTG2;PTEN;DBN1,GO_BP,magenta,4
organic anion transport (GO:0015711),3/99,0.0300605461386063,0.229644531839697,0,0,4.64473684210526,16.2776740719495,SLCO4A1;SLCO2A1;LRRC8A,GO_BP,magenta,3
"positive regulation of transcription, DNA-templated (GO:0045893)",14/1183,0.0305565330002283,0.229644531839697,0,0,1.83518209482674,6.40143955201394,JUN;CEBPB;CTBP2;EGR4;ELL;NFYB;FOXO1;FOSL1;NR4A3;NFIL3;NAMPT;CD38;CCN1;ATF3,GO_BP,magenta,14
regulation of translation (GO:0006417),4/178,0.0334408707688753,0.229644531839697,0,0,3.42911877394636,11.6520648428053,BTG2;EIF4A3;THBS1;PUM3,GO_BP,magenta,4
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),8/547,0.0335118629931308,0.229644531839697,0,0,2.24083951762523,7.60956783613354,JUN;BTG2;CTBP2;NFIL3;EIF4A3;ZBTB21;CD38;FOXO1,GO_BP,magenta,8
regulation of insulin secretion (GO:0050796),3/104,0.0340653189872392,0.229644531839697,0,0,4.41368272165562,14.9159324051227,MIDN;LRRC8A;TRH,GO_BP,magenta,3
positive regulation of cellular biosynthetic process (GO:0031328),4/180,0.0346273573084693,0.229644531839697,0,0,3.38980716253444,11.4002985551116,STAR;EIF4A3;THBS1;LDLR,GO_BP,magenta,4
regulation of protein phosphorylation (GO:0001932),5/266,0.0354377943942834,0.229644531839697,0,0,2.86669006463689,9.57467713363927,CEBPB;SOCS1;PTEN;CCN1;ATF3,GO_BP,magenta,5
cellular response to peptide hormone stimulus (GO:0071375),3/106,0.035740984967184,0.229644531839697,0,0,4.32754215636178,14.4170215200872,NR4A3;INSIG1;FOXO1,GO_BP,magenta,3
regulation of cytoskeleton organization (GO:0051493),3/112,0.0410183611954423,0.229644531839697,0,0,4.0880871904532,13.0562690993124,FAM107A;RND3;RND1,GO_BP,magenta,3
positive regulation of metabolic process (GO:0009893),3/113,0.0419341419799432,0.229644531839697,0,0,4.05071770334928,12.8474788122241,CEBPB;PIGA;KSR2,GO_BP,magenta,3
negative regulation of cell motility (GO:2000146),3/114,0.0428601884597007,0.229644531839697,0,0,4.01402154033733,12.6434127818825,ADAM15;PTEN;STC1,GO_BP,magenta,3
positive regulation of angiogenesis (GO:0045766),3/116,0.0447429446229018,0.229644531839697,0,0,3.94257768314592,12.2488851459127,NOS3;ITGA5;THBS1,GO_BP,magenta,3
regulation of cellular response to stress (GO:0080135),3/118,0.0466663520132683,0.229644531839697,0,0,3.8736188296829,11.8716031478784,DNAJB1;CEBPB;ATF3,GO_BP,magenta,3
negative regulation of apoptotic process (GO:0043066),7/485,0.0480513794567187,0.229644531839697,0,0,2.20073951542279,6.68031054499824,CLCF1;WNK3;PIM1;CD38;ITGA5;THBS1;FOXO1,GO_BP,magenta,7
cytoskeleton organization (GO:0007010),3/120,0.048630117602977,0.229644531839697,0,0,3.80701754385965,11.5105641274698,ARC;RND3;RND1,GO_BP,magenta,3
regulation of angiogenesis (GO:0045765),4/203,0.0500208594366112,0.229644531839697,0,0,2.9945180447693,8.96952533178862,ADAMTS1;NOS3;GLUL;THBS1,GO_BP,magenta,4
cellular response to oxidative stress (GO:0034599),3/125,0.0537140448739928,0.229644531839697,0,0,3.6500677924319,10.673093035157,JUN;FOXO1;RBM11,GO_BP,magenta,3
platelet degranulation (GO:0002576),3/125,0.0537140448739928,0.229644531839697,0,0,3.6500677924319,10.673093035157,TIMP3;CYRIB;THBS1,GO_BP,magenta,3
cellular response to insulin stimulus (GO:0032869),3/129,0.0579579224637738,0.229644531839697,0,0,3.53347654851414,10.0634755051825,INSIG1;NAMPT;FOXO1,GO_BP,magenta,3
positive regulation of macromolecule biosynthetic process (GO:0010557),3/129,0.0579579224637738,0.229644531839697,0,0,3.53347654851414,10.0634755051825,EIF4A3;NAMPT;THBS1,GO_BP,magenta,3
regulation of primary metabolic process (GO:0080090),3/130,0.0590430697151796,0.229644531839697,0,0,3.50547628914807,9.91870346678334,IDI1;NFYB;LDLR,GO_BP,magenta,3
positive regulation of cell motility (GO:2000147),4/221,0.0643020365963811,0.229644531839697,0,0,2.7436112274822,7.52891909156181,FAM107A;HAS2;CCN1;THBS1,GO_BP,magenta,4
cellular calcium ion homeostasis (GO:0006874),3/136,0.0657534152651723,0.229644531839697,0,0,3.34631692011985,9.1081515137136,EDN2;STC1;TMEM165,GO_BP,magenta,3
organic substance transport (GO:0071702),3/136,0.0657534152651723,0.229644531839697,0,0,3.34631692011985,9.1081515137136,RD3;SLC22A4;SLCO2A1,GO_BP,magenta,3
neuron projection morphogenesis (GO:0048812),3/140,0.0704133026342942,0.230344143550267,0,0,3.24795565556226,8.61803808784479,ARC;PTEN;DBN1,GO_BP,magenta,3
inflammatory response (GO:0006954),4/230,0.0721636178479882,0.230344143550267,0,0,2.6331456154465,6.9220639293624,CEBPB;CCL20;PTX3;THBS1,GO_BP,magenta,4
nitrogen compound transport (GO:0071705),3/143,0.0740036839643598,0.230344143550267,0,0,3.17787325456498,8.27403920347053,SLC22A4;RD3;SLC7A5,GO_BP,magenta,3
positive regulation of cytosolic calcium ion concentration (GO:0007204),3/147,0.0789153721838065,0.230344143550267,0,0,3.08897243107769,7.84407246095291,EDN2;GPR4;CD55,GO_BP,magenta,3
regulation of ERK1 and ERK2 cascade (GO:0070372),4/238,0.0795453036862311,0.230344143550267,0,0,2.54208754208754,6.43511301099389,CCL20;PTEN;TIMP3;CCN1,GO_BP,magenta,4
actin filament organization (GO:0007015),3/152,0.0852500558050567,0.230344143550267,0,0,2.98455871221678,7.34848050301833,RND3;DBN1;RND1,GO_BP,magenta,3
positive regulation of signal transduction (GO:0009967),4/252,0.0933286546851783,0.233120318899858,0,0,2.39687194525904,5.68448884336176,CTBP2;NOS3;PTEN;ITGA5,GO_BP,magenta,4
protein autophosphorylation (GO:0046777),3/159,0.0944697710948896,0.233120318899858,0,0,2.84962406015038,6.72361780719233,WNK3;MKNK2;PIM1,GO_BP,magenta,3
negative regulation of nucleic acid-templated transcription (GO:1903507),6/464,0.0972481479277688,0.233120318899858,0,0,1.95559287873698,4.55748835944612,JUN;CTBP2;NFIL3;ZBTB21;CD38;FOXO1,GO_BP,magenta,6
positive regulation of cell differentiation (GO:0045597),4/258,0.0995623741760834,0.235136311469234,0,0,2.33953710331663,5.39724414568538,TMEM100;CEBPB;LRRC8A;CCN1,GO_BP,magenta,4
regulation of neuron projection development (GO:0010975),3/165,0.102684449433586,0.235136311469234,0,0,2.7432470064049,6.2438896727997,ARC;PTEN;DBN1,GO_BP,magenta,3
neutrophil degranulation (GO:0043312),6/481,0.110425005220326,0.24177449391393,0,0,1.88395141700405,4.1511337335588,PNP;HSPA6;PTX3;S100P;CD55;CD177,GO_BP,magenta,6
positive regulation of cell migration (GO:0030335),4/269,0.111479147117766,0.242366553713443,0,0,2.24116638078902,4.91693465183045,FAM107A;HAS2;CCN1;THBS1,GO_BP,magenta,4
neutrophil activation involved in immune response (GO:0002283),6/485,0.113653271832601,0.242366553713443,0,0,1.86783362775012,4.06179649913146,PNP;HSPA6;PTX3;S100P;CD55;CD177,GO_BP,magenta,6
neutrophil mediated immunity (GO:0002446),6/488,0.116105902530167,0.242366553713443,0,0,1.85592084264283,3.99626628983516,PNP;HSPA6;PTX3;S100P;CD55;CD177,GO_BP,magenta,6
negative regulation of programmed cell death (GO:0043069),5/381,0.118675815217895,0.244884131257418,0,0,1.97823615397109,4.21633290514649,WNK3;PIM1;CD38;THBS1;FOXO1,GO_BP,magenta,5
protein stabilization (GO:0050821),3/179,0.122894133752533,0.247045956008382,0,0,2.52323991797676,5.289800896179,STX12;PTEN;ATP1B3,GO_BP,magenta,3
regulated exocytosis (GO:0045055),3/180,0.124390181633542,0.24819847027231,0,0,2.50885688798267,5.22929076420497,TIMP3;CYRIB;THBS1,GO_BP,magenta,3
positive regulation of programmed cell death (GO:0043068),4/286,0.131074500156807,0.249512543417444,0,0,2.10423382763808,4.2757808622244,JUN;GADD45B;RNF122;FOXO1,GO_BP,magenta,4
cytokine-mediated signaling pathway (GO:0019221),7/621,0.131184789847665,0.249512543417444,0,0,1.70126000555513,3.45551143658608,IL1RL1;SOCS1;EDN2;CCL20;CLCF1;PIM1;FOXO1,GO_BP,magenta,7
regulation of apoptotic process (GO:0042981),8/742,0.133496402148277,0.249512543417444,0,0,1.62891689373297,3.28011859503746,JUN;GADD45B;WNK3;PIM1;CD38;THBS1;RNF122;FOXO1,GO_BP,magenta,8
negative regulation of intracellular signal transduction (GO:1902532),3/198,0.152394753050187,0.266866125321837,0,0,2.27518796992481,4.28026804742388,PTEN;CYRIB;THBS1,GO_BP,magenta,3
positive regulation of apoptotic process (GO:0043065),4/310,0.160950558869935,0.273405379186168,0,0,1.93681917211329,3.53790633004942,JUN;GADD45B;RNF122;FOXO1,GO_BP,magenta,4
cellular response to oxygen-containing compound (GO:1901701),4/323,0.178091986036591,0.286881722425032,0,0,1.85665431746936,3.20357363629513,JUN;NR4A3;INSIG1;FOXO1,GO_BP,magenta,4
negative regulation of multicellular organismal process (GO:0051241),3/214,0.178793269554455,0.286881722425032,0,0,2.10095143070948,3.61684053626313,NOS3;PTEN;STC1,GO_BP,magenta,3
positive regulation of cytokine production (GO:0001819),4/335,0.194439774341665,0.296913315586249,0,0,1.78824498764076,2.92848865935877,SLC7A5;CEBPB;PNP;CYRIB,GO_BP,magenta,4
regulation of cellular macromolecule biosynthetic process (GO:2000112),5/468,0.214010187767665,0.310732849187475,0,0,1.59934380822053,2.46575898228338,CEBPB;NFIL3;NFYB;CREM;PUM3,GO_BP,magenta,5
regulation of transcription by RNA polymerase II (GO:0006357),18/2206,0.24034127373858,0.331131514419386,0,0,1.23233043101044,1.75692781663803,JUN;CEBPB;CTBP2;EGR4;NFYB;ZBTB21;CREM;PTEN;FOXO1;FOSL1;DNAJB1;EDNRB;NR4A3;NFIL3;NAMPT;CCN1;HAMP;ATF3,GO_BP,magenta,18
protein transport (GO:0015031),4/369,0.243024880102296,0.334493376188682,0,0,1.61884599418846,2.29000570812306,RD3;VMP1;STX12;RPGR,GO_BP,magenta,4
cellular component assembly (GO:0022607),3/261,0.262019585611506,0.351489688015435,0,0,1.7141108585417,2.2957704215847,VMP1;FAM107A;HAS2,GO_BP,magenta,3
positive regulation of nucleic acid-templated transcription (GO:1903508),5/511,0.268147681912455,0.356924552400412,0,0,1.46018767160486,1.92192441819692,JUN;CEBPB;NFIL3;CD38;FOXO1,GO_BP,magenta,5
negative regulation of signal transduction (GO:0009968),3/267,0.273037640393564,0.361334702157026,0,0,1.67464114832536,2.17392806574468,SOCS1;PTEN;THBS1,GO_BP,magenta,3
inorganic cation transmembrane transport (GO:0098662),3/274,0.285954622295594,0.371984489741194,0,0,1.63080209749466,2.04163725842125,ATP1B3;CACNA1H;TMEM165,GO_BP,magenta,3
regulation of cell cycle (GO:0051726),3/296,0.326805300305843,0.409377259422221,0,0,1.50665913931587,1.68503356544556,JUN;GADD45B;THBS1,GO_BP,magenta,3
regulation of nucleic acid-templated transcription (GO:1903506),4/430,0.33547432932624,0.417823553282228,0,0,1.38270024185517,1.51019881016475,CEBPB;NFIL3;NFYB;CREM,GO_BP,magenta,4
chemical synaptic transmission (GO:0007268),3/306,0.345405018598554,0.425947892890593,0,0,1.45618997990025,1.5479846774357,PTEN;SYN2;PDLIM4,GO_BP,magenta,3
transcription by RNA polymerase II (GO:0006366),3/320,0.371367845319093,0.449498932494501,0,0,1.39088256919902,1.37775571266174,NR4A3;ELL;ELL2,GO_BP,magenta,3
negative regulation of gene expression (GO:0010629),3/322,0.375064089831916,0.451180122836807,0,0,1.38202088292832,1.35529033446766,SLC7A5;BTG2;EIF4A3,GO_BP,magenta,3
cellular protein localization (GO:0034613),3/329,0.387967015831128,0.460271481249181,0,0,1.35186124821256,1.27998948238314,STX12;CD177;RPGR,GO_BP,magenta,3
supramolecular fiber organization (GO:0097435),3/351,0.42806486677189,0.488487319690451,0,0,1.26497277676951,1.07330478093115,RND3;DBN1;RND1,GO_BP,magenta,3
positive regulation of protein phosphorylation (GO:0001934),3/371,0.463713149164786,0.517536996835699,0,0,1.19499836547891,0.918343255355951,WNK3;ITGA5;CCN1,GO_BP,magenta,3
phosphorylation (GO:0016310),3/400,0.513621904671742,0.560055605807808,0,0,1.10605859737505,0.73693131487428,WNK3;MKNK2;PIM1,GO_BP,magenta,3
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),3/404,0.520316567436289,0.564668729459272,0,0,1.0948005925037,0.715252790193636,NR4A3;NAMPT;FOXO1,GO_BP,magenta,3
organelle organization (GO:0006996),3/420,0.546592999412363,0.587619526342455,0,0,1.05192838210635,0.635418194518603,VMP1;ARC;NOS3,GO_BP,magenta,3
cellular protein modification process (GO:0006464),7/1025,0.550119247580097,0.59048709244546,0,0,1.00456892219126,0.600350690715916,SPSB1;WNK3;MKNK2;PIM1;PTEN;CCN1;THBS1,GO_BP,magenta,7
organelle assembly (GO:0070925),3/425,0.554633575150707,0.594868304081297,0,0,1.03919751986602,0.612552492567577,VMP1;STX12;RPGR,GO_BP,magenta,3
positive regulation of gene expression (GO:0010628),3/482,0.640087976297325,0.670312998788135,0,0,0.912851021080886,0.407268162745871,NOS3;EIF4A3;THBS1,GO_BP,magenta,3
protein phosphorylation (GO:0006468),3/496,0.659251799683135,0.68620077559751,0,0,0.886287727432171,0.369271536893069,WNK3;MKNK2;PIM1,GO_BP,magenta,3
regulation of gene expression (GO:0010468),6/1079,0.748652652067278,0.761952181045527,0,0,0.808272994479891,0.233978989249858,SLC7A5;CEBPB;NFIL3;NFYB;NOS3;CREM,GO_BP,magenta,6
"regulation of transcription, DNA-templated (GO:0006355)",13/2244,0.769426577288387,0.780979387113348,0,0,0.835343077769639,0.218951562258718,JUN;CEBPB;CTBP2;EGR4;NFYB;ZBTB21;CREM;FOXO1;FOSL1;NR4A3;NFIL3;CD38;ATF3,GO_BP,magenta,13
Endothelial Cells,9/246,4.80074639862021e-05,0.00335680409508867,0,0,5.86873318050434,58.3595868806394,TMEM100;SLC7A5;EDNRB;ADAMTS1;NOS3;SLCO2A1;TIMP3;CD55;RND1,PanglaoDB,magenta,9
Loop Of Henle Cells,7/147,6.64713682195777e-05,0.00335680409508867,0,0,7.64496124031008,73.5348887935803,ARC;SPSB1;EDNRB;SLCO2A1;TIMP3;CYP4B1;THBS1,PanglaoDB,magenta,7
Osteocytes,5/98,0.000552721183001719,0.0186082798277245,0,0,8.1141754904375,60.8616461648001,TFPI2;STC1;HAS2;RND3;PDLIM4,PanglaoDB,magenta,5
Mast Cells,7/235,0.00114436795803837,0.0288952909404689,0,0,4.67333061335509,31.6520139782839,SLC7A5;IL1RL1;EDNRB;SOCS1;ST6GALNAC3;ADAMTS9;CD55,PanglaoDB,magenta,7
Trophoblast Cells,5/130,0.00196002529738414,0.0395925110071596,0,0,6.02717557251908,37.5782215964121,PRRG4;STAR;CCL20;S100P;CD55,PanglaoDB,magenta,5
Mesothelial Cells,5/144,0.00305460195915804,0.0514191329791604,0,0,5.41627766489099,31.3662380094178,SLCO2A1;TIMP3;HAS2;RND3;RND1,PanglaoDB,magenta,5
Sertoli Cells,5/158,0.00453417044160667,0.0654216020860391,0,0,4.91717806715562,26.5336491588445,STAR;CDC42EP4;SLCO2A1;TIMP3;CD55,PanglaoDB,magenta,5
Trophoblast Progenitor Cells,4/103,0.00538067061505028,0.0679309665150098,0,0,6.04989286807469,31.6103409326565,CEBPB;ELL;S100P;CD55,PanglaoDB,magenta,4
Satellite Glial Cells,4/114,0.00767047000837344,0.0860797189828575,0,0,5.44187327823692,26.5039765555216,EDNRB;GALNT15;FAM107A;GLUL,PanglaoDB,magenta,4
Luteal Cells,4/125,0.0105238280474716,0.106290663279464,0,0,4.94440270473328,22.5173698957943,ADAMTS1;CDC42EP4;RND3;FKBP5,PanglaoDB,magenta,4
Principal Cells,4/136,0.0139876913089866,0.128432438382513,0,0,4.52984389348026,19.3405196943025,ADGRG1;SLCO2A1;STC1;AQP2,PanglaoDB,magenta,4
Hepatocytes,5/221,0.0176628271150278,0.130590679078766,0,0,3.47186881538027,14.0134798340381,FOSL1;PRRG4;GLUL;HAMP;RND3,PanglaoDB,magenta,5
Chondrocytes,4/146,0.0176999170787487,0.130590679078766,0,0,4.20870678617158,16.9787452378275,TAGLN;GADD45B;TIMP3;HAS2,PanglaoDB,magenta,4
M?ller Cells,4/147,0.0181016782881458,0.130590679078766,0,0,4.17906336088154,16.7653600370049,EDNRB;FAM107A;TIMP3;GLUL,PanglaoDB,magenta,4
Osteoblasts,4/154,0.0210731532658546,0.134379329213747,0,0,3.98262626262626,15.371963246063,TAGLN;TIMP3;ITGA5;FOXO1,PanglaoDB,magenta,4
Fibroblasts,5/232,0.0212878145289105,0.134379329213747,0,0,3.30177892860746,12.7105957107532,TAGLN;CEBPB;TIMP3;PTX3;CD55,PanglaoDB,magenta,5
Airway Smooth Muscle Cells,3/99,0.0300605461386063,0.17859500941172,0,0,4.64473684210526,16.2776740719495,TAGLN;ADAMTS1;TIMP3,PanglaoDB,magenta,3
Juxtaglomerular Cells,3/103,0.0332432483615345,0.186531560250832,0,0,4.45804511278195,15.1747557606378,TAGLN;SLCO2A1;TIMP3,PanglaoDB,magenta,3
Pinealocytes,3/107,0.036594532716972,0.190384161880992,0,0,4.28571428571429,14.1765275530745,RD3;CREM;KSR2,PanglaoDB,magenta,3
Endothelial Cells (Aorta),4/185,0.0376998340358401,0.190384161880992,0,0,3.29532898041185,10.80241656896,NOS3;SLCO2A1;TIMP3;ITGA5,PanglaoDB,magenta,4
Parietal Cells,3/111,0.0401128783086423,0.192323617788096,0,0,4.12614870509607,13.2699328978059,HAMP;CACNA1H;RAI2,PanglaoDB,magenta,3
Adipocyte Progenitor Cells,3/115,0.0437964674170912,0.192323617788096,0,0,3.97798066595059,12.4439275423229,ADAMTS1;TIMP3;RND3,PanglaoDB,magenta,3
Meningeal Cells,3/115,0.0437964674170912,0.192323617788096,0,0,3.97798066595059,12.4439275423229,TMEM100;TIMP3;ADAMTS9,PanglaoDB,magenta,3
Peritubular Myoid Cells,3/120,0.048630117602977,0.204651744912528,0,0,3.80701754385965,11.5105641274698,TAGLN;RASD1;TIMP3,PanglaoDB,magenta,3
Sebocytes,3/124,0.0526774784521224,0.212817012946574,0,0,3.68042005841049,10.8335640187323,PRRG4;CEBPB;S100P,PanglaoDB,magenta,3
Pulmonary Alveolar Type I Cells,3/131,0.0601377954921798,0.229090639939449,0,0,3.47791353383459,9.77682101908712,SLCO2A1;CYP4B1;RND3,PanglaoDB,magenta,3
Hepatic Stellate Cells,3/132,0.0612420522610407,0.229090639939449,0,0,3.45077810806085,9.63775132407819,TAGLN;TIMP3;CCN1,PanglaoDB,magenta,3
Schwann Cells,3/138,0.0680649987212702,0.245520173958867,0,0,3.29640768588137,8.85841055286346,TAGLN;EDNRB;FAM107A,PanglaoDB,magenta,3
Leydig Cells,3/145,0.076441924389198,0.266228771148586,0,0,3.13279678068411,8.055122221897,STAR;SLCO2A1;TIMP3,PanglaoDB,magenta,3
Mesangial Cells,3/148,0.0801651585719332,0.269889367192175,0,0,3.06751361161525,7.74138069658972,TAGLN;RASD1;TIMP3,PanglaoDB,magenta,3
Cardiomyocytes,3/174,0.115516014076857,0.37635862650847,0,0,2.59767840654267,5.6066890801952,NPPC;STC1;HAMP,PanglaoDB,magenta,3
Adipocytes,3/210,0.172076268267963,0.4645207644669,0,0,2.1419853982783,3.76950334641133,TAGLN;SOCS1;TIMP3,PanglaoDB,magenta,3
cilium assembly (GO:0060271),11/314,8.87915906204994e-06,0.00673040256903385,0,0,5.77404813652097,67.1625945110678,CEP135;TTC30B;CENPJ;CEP162;IFT80;PKD1;LZTFL1;CILK1;SEPTIN7;CEP78;CFAP44,GO_BP,black,11
cilium organization (GO:0044782),9/228,2.35839586911487e-05,0.00893832034394536,0,0,6.45928767123288,68.8233470831723,CENPJ;CEP162;IFT80;PKD1;LZTFL1;CILK1;SEPTIN7;CEP78;CFAP44,GO_BP,black,9
plasma membrane bounded cell projection assembly (GO:0120031),8/278,0.000580171469182333,0.0995501747276729,0,0,4.60811287477954,34.3405182221761,CENPJ;CEP162;IFT80;PKD1;LZTFL1;CILK1;SEPTIN7;CFAP44,GO_BP,black,8
